Frequency (Hz),Amplitude (Vrms),Amplitude (dB)
7800.0,1.0723687669796462,0.6068831311051486
7900.0,0.9218283429421474,-0.7069988599085096
8000.0,0.8817841683575678,-1.0927540561280518
8100.0,1.1865560913545894,1.4857654636322488
8200.0,0.6026624519011161,-4.398517316807272
8300.0,1.0497371477387099,0.42161132278648783
8400.0,0.8667046936731571,-1.2425770298104637
8500.0,0.718552463829383,-2.8708303426557786
8600.0,1.0778768598523412,0.6513829695025164
8700.0,0.6252311418493617,-4.079187970800485
8800.0,0.99250462122368,-0.06534924862277453
8900.0,0.8047939919570839,-1.8863054884366806
9000.0,0.7833028927946114,-2.1214053914547324
9100.0,1.1558347768209114,1.2579151480759876
9200.0,0.6834176574041647,-3.3062760912379052
9300.0,0.8366082436664249,-1.54955720673497
9400.0,0.7722774598398671,-2.2445328111850773
9500.0,0.651617278977105,-3.720148159911792
9600.0,1.0140628928304547,0.12129782110252427
9700.0,0.6403861479287578,-3.8711614158396674
9800.0,0.6746820434009209,-3.4180169679400874
9900.0,0.7036706893953047,-3.0526107727889533
10000.0,0.8722147423934009,-1.1875315409053817
10100.0,1.1458192956291073,1.1823226301364325
10200.0,0.6873481337370939,-3.256464843486534
10300.0,0.5854139149360293,-4.650739177212767
10400.0,0.7905062178987414,-2.0418941935999873
10500.0,0.8864529949211737,-1.0468857672432124
10600.0,1.0926627647441054,0.7697228728583726
10700.0,0.6628092585687104,-3.57222867380321
10800.0,0.30060979214296246,-10.43993753387614
10900.0,0.760901181868112,-2.373434826627821
11000.0,0.9850058606148926,-0.13122371034074337
11100.0,1.1014809289713479,0.8395396436481362
11200.0,0.6374624402663157,-3.910907981494071
11300.0,0.18471682087549204,-14.66987109160517
11400.0,0.875594748578388,-1.1539370359567898
11500.0,1.0836267147960328,0.6975940642828087
11600.0,1.0907096021730387,0.7541827301691253
11700.0,0.46828422975302825,-6.589809351132992
11800.0,0.2086667775477207,-13.610933814646181
11900.0,0.8874655901055154,-1.0369695387885993
12000.0,0.9976836393400988,-0.02014299127837236
12100.0,0.9903458281162016,-0.08426247135015952
12200.0,0.3734628929446384,-8.555050859008071
12300.0,0.2369680701319424,-12.506203366656116
12400.0,0.5828033981502072,-4.6895584930850305
12500.0,0.2596685013048832,-11.711614572196904
12600.0,0.5517736859976824,-5.164780295986434
12700.0,0.2508831733361958,-12.010569314310644
12800.0,0.389127087021193,-8.198170740654797
12900.0,0.9945229448505374,-0.04770385446191082
13000.0,1.103528489765866,0.8556709962393527
13100.0,0.869438700853537,-1.2152206439919326
13200.0,0.23502000608255638,-12.577903336533204
13300.0,0.593169498288416,-4.536423783526286
13400.0,1.1565289056494463,1.2631298352171558
13500.0,1.384404814762575,2.825262020786444
13600.0,0.8253323294727993,-1.6674228521550996
13700.0,0.2743288347511298,-11.234570824535115
13800.0,0.8308661392286638,-1.6093787945153908
13900.0,1.2044236864567455,1.6155857570858037
14000.0,1.3698634961459082,2.7335458566498683
14100.0,0.6545112892658225,-3.6816571633492385
14200.0,0.4103425557062029,-7.737068819792614
14300.0,0.9219612501949734,-0.7057466370557066
14400.0,1.1607496370264077,1.2947711306407177
14500.0,1.3942499354222375,2.8868126609720663
14600.0,0.5651622636674665,-4.956536880832026
14700.0,0.554555361974503,-5.121101823469139
14800.0,1.0455099390697553,0.38656331529891264
14900.0,1.1679846864129104,1.3487429745424242
15000.0,1.4276064892939662,3.0921702681407943
15100.0,0.4008668252417583,-7.939997668212893
15200.0,0.745031360104149,-2.5565089280146687
15300.0,1.1599121194548265,1.2885017245179173
15400.0,1.137511057089118,1.1191125375260373
15500.0,1.358382355334417,2.6604406336419513
15600.0,0.29595595071017705,-10.575458467108586
15700.0,0.942076823710823,-0.5182736054224462
15800.0,1.2324702329822406,1.8155287771235034
15900.0,1.114659413455809,0.9428437611030374
16000.0,1.4563524154212169,3.2653296087925714
16100.0,0.17625052218157028,-15.07739175275421
16200.0,1.1276142343828575,1.0432109905919313
16300.0,1.3137316603015678,2.37013332653014
16400.0,0.9518177976629079,-0.42892357521757896
16500.0,1.2996674583220449,2.2766449001367963
16600.0,0.08264521431359655,-21.655645795737644
16700.0,1.3603861746952772,2.6732441928875033
16800.0,1.4402920588479353,3.1690113236481894
16900.0,0.9347715994370478,-0.5858898193640371
17000.0,1.3103473930867773,2.3477289802941628
17100.0,0.21901706509572647,-13.190440900585518
17200.0,1.5191841142100815,3.6322082085321044
17300.0,1.444766226578257,3.1959516170062723
17400.0,0.7002704901509843,-3.0946834942935677
17500.0,1.1327497348245117,1.0826793836750008
17600.0,0.3280028097948778,-9.682448718838474
17700.0,1.6490825057455025,4.3448476901379305
17800.0,1.5122054552328756,3.5922160086556887
17900.0,0.6262056594698177,-4.0656602333970895
18000.0,1.1586168880925678,1.278797090414102
18100.0,0.4360263787960022,-7.209744718324069
18200.0,1.6993976837960165,4.605900439870179
18300.0,1.5190932003813593,3.6316883958874207
18400.0,0.4547104557224812,-6.845301188129861
18500.0,1.071131273782663,0.5968539915421628
18600.0,0.5906723303830375,-4.573067457500989
18700.0,1.8515982318924435,5.350935147991143
18800.0,1.591359366978637,4.035365295918634
18900.0,0.3812231417131921,-8.376414877687724
19000.0,1.0324944919192478,0.2777548698128812
19100.0,0.6696661419519915,-3.4828331652125266
19200.0,1.9319146549465755,5.719758738649425
19300.0,1.6336448262182635,4.263152833649261
19400.0,0.18842934779265444,-14.497029101751489
19500.0,1.0367683081596415,0.3136342651037674
19600.0,0.7359846067212578,-2.662625378616674
19700.0,1.8562485514915184,5.372722555269639
19800.0,1.593765766416342,4.048489881636623
19900.0,0.23306266331742223,-12.650545899261964
20000.0,1.1750793951453078,1.401344220819642
20100.0,0.8670393049588209,-1.2392242894551362
20200.0,1.8809690242169863,5.487632873028106
20300.0,1.6122057911250032,4.148409536553958
20400.0,0.29038896617832566,-10.740397788259177
20500.0,1.2592308497257192,2.0021070973449713
20600.0,0.8890191310263784,-1.021777864730111
20700.0,1.8559820006974914,5.371475202363463
20800.0,1.6753150837399213,4.4819299738602645
20900.0,0.3540079022880385,-9.019740867833438
21000.0,1.4059029503815534,2.9591068465631793
21100.0,0.9669204894906392,-0.2921847353978341
21200.0,1.7488812255686161,4.855206311571389
21300.0,1.6171423680817605,4.174965109952613
21400.0,0.541317135911287,-5.330964493672767
21500.0,1.5389676258004594,3.744589679492918
21600.0,0.9304641330095449,-0.6260072628259684
21700.0,1.6386229468299187,4.289580646159795
21800.0,1.4797679696536414,3.403872451160878
21900.0,0.7070815190777703,-3.0106102744103103
22000.0,1.7267028018737491,4.744351874533754
22100.0,0.9815444480003856,-0.16180058282490986
22200.0,1.489805277175171,3.4625901659064877
22300.0,1.4043861936891036,2.949731026608564
22400.0,0.7859142464221134,-2.0924967722648704
22500.0,1.847835282370207,5.333265104504803
22600.0,1.0095308302112387,0.08239172931973573
22700.0,1.350689944124325,2.6111133311495527
22800.0,1.313059854527458,2.3656904684605813
22900.0,0.8798783378912447,-1.1115474850608325
23000.0,2.027958275966725,6.141180308064351
23100.0,1.1094192148937596,0.9019136698413339
23200.0,1.2357578713520645,1.8386677089652297
23300.0,1.2987431258038467,2.2704652373616785
23400.0,0.8861509176422009,-1.0498461690725494
23500.0,2.1394852053519307,6.606185753245965
23600.0,1.0642804208262828,0.5411214533960805
23700.0,1.115784536506972,0.9516067658678206
23800.0,1.149251968983734,1.2083051297777674
23900.0,1.0428883250910366,0.3647561130572069
24000.0,2.3043585609018273,7.251001134829988
24100.0,1.1241952814888454,1.0168351625074696
24200.0,0.9448124879693587,-0.4930875022012733
24300.0,1.0236490636675304,0.20302187040390773
24400.0,0.8153573033157824,-1.7730406876849565
24500.0,1.9513440325918052,5.806676892604342
24600.0,0.9638138432097386,-0.3201368047953946
24700.0,0.7136437061091352,-2.930371201192394
24800.0,0.7504421871787124,-2.493655189158801
24900.0,0.49674196436290463,-6.077382992088828
